,input_texts,target_texts
1281,Who'll start?,Ποιος θα ξεκινήσει;
1282,Who's paying?,Ποιος πληρώνει;
1283,Will Tom die?,Θα πεθάνει ο Τομ;
1284,Won't you go?,Δε θα πας;
1285,Won't you go?,Δε θα πάτε;
1286,You are rich.,Είστε πλούσιοι.
1287,You are rich.,Είστε πλούσιες.
1288,You are rich.,Είστε πλούσια.
1289,You are rich.,Είστε πλούσιος.
1290,You saved us.,Μ' έσωσες.
1291,You saved us.,Με έσωσες.
1292,You saved us.,Μας έσωσες.
1293,You will die.,Θα πεθάνετε.
1294,You will die.,Θα πεθάνεις.
1295,You will eat.,Θα φας.
1296,You will eat.,Θα φάτε.
1297,You will see.,Θα δεις.
1298,You're a spy.,Είσαι κατάσκοπος.
1299,You're fired.,Απολύεσαι.
1300,You're fired.,Απολύεστε.
1301,You're lying.,Λες ψέματα.
1302,You're ready.,Είσαι έτοιμος.
1303,You're ready.,Είστε έτοιμος.
1304,You're ready.,Είστε έτοιμες.
1305,You're ready.,Είστε έτοιμοι.
1306,You're ready.,Είστε έτοιμη.
1307,You're ready.,Είσαι έτοιμη.
1308,You're right.,Έχεις δίκιο.
1309,You're right.,Έχετε δίκιο.
1310,You're right.,Δίκιο έχεις.
1311,You're right.,Δίκιο έχετε.
1312,You're tough.,Είσαι σκληρός.
1313,You're tough.,Είσαι σκληρή.
1314,You're tough.,Είστε σκληρή.
1315,You're tough.,Είστε σκληρός.
1316,You're tough.,Είστε σκληροί.
1317,You're tough.,Είστε σκληρές.
1318,You're young.,Είσαι νέος.
1319,You're young.,Είστε νέος.
1320,You're young.,Είσαι νέα.
1321,You're young.,Είστε νέα.
1322,You're young.,Είστε νέοι.
1323,You're young.,Είστε νέες.
1324,A car hit Tom.,Ένα αμάξι χτύπησε τον Τομ.
1325,A car hit Tom.,Ένα αυτοκίνητο χτύπησε τον Τομ.
1326,Am I dreaming?,Ονειρεύομαι;
1327,Anything else?,Τίποτε άλλο;
1328,Are they busy?,Είναι απασχολημένες;
1329,Are they busy?,Είναι απασχολημένοι;
1330,Are you alive?,Είσαι ζωντανός;
1331,Are you alive?,Είσαι ζωντανή;
1332,Are you alive?,Είστε ζωντανός;
1333,Are you alive?,Είστε ζωντανή;
1334,Are you alive?,Είστε ζωντανές;
1335,Are you alive?,Είστε ζωντανοί;
1336,Are you angry?,Είσαι θυμωμένος;
1337,Are you angry?,Είσαι θυμωμένη;
1338,Are you angry?,Είστε θυμωμένες;
1339,Are you angry?,Είστε θυμωμένοι;
1340,Are you angry?,Είστε θυμωμένος;
1341,Are you angry?,Είστε θυμωμένη;
1342,Are you awake?,Είσαι ξύπνιος;
1343,Are you awake?,Είστε ξύπνιος;
1344,Are you awake?,Είσαι ξύπνια;
1345,Are you awake?,Είστε ξύπνια;
1346,Are you awake?,Είστε ξύπνιοι;
1347,Are you awake?,Είστε ξύπνιες;
1348,Are you blind?,Είσαι τυφλός;
1349,Are you blind?,Είσαι τυφλή;
1350,Are you blind?,Είστε τυφλοί;
1351,Are you blind?,Είστε τυφλές;
1352,Are you blind?,Είστε τυφλός;
1353,Are you blind?,Είστε τυφλή;
1354,Are you crazy?,Είσαι τρελός;
1355,Are you crazy?,Είσαι τρελή;
1356,Are you crazy?,Τρελάθηκες;
1357,Are you drunk?,Είσαι μεθυσμένος;
1358,Are you drunk?,Είσαι μεθυσμένη;
1359,Are you drunk?,Είστε μεθυσμένος;
1360,Are you drunk?,Είστε μεθυσμένη;
1361,Are you drunk?,Είστε μεθυσμένοι;
1362,Are you drunk?,Είστε μεθυσμένες;
1363,Are you drunk?,Είστε πιωμένος;
1364,Are you drunk?,Είστε πιωμένη;
1365,Are you drunk?,Είστε πιωμένοι;
1366,Are you drunk?,Είστε πιωμένες;
1367,Are you drunk?,Είσαι πιωμένος;
1368,Are you drunk?,Είσαι πιωμένη;
1369,Are you happy?,Είσαι ευτυχισμένος;
1370,Are you happy?,Είστε ευτυχισμένος;
1371,Are you happy?,Είσαι ευτυχισμένη;
1372,Are you happy?,Είστε ευτυχισμένη;
1373,Are you happy?,Είστε ευτυχισμένες;
1374,Are you happy?,Είστε ευτυχισμένοι;
1375,Are you ready?,Είσαι έτοιμος;
1376,Are you ready?,Είσαι έτοιμη;
1377,Are you ready?,Έτοιμος είσαι;
1378,Bring the key.,Φέρ' το κλειδί.
1379,Bring the key.,Φέρε το κλειδί.
1380,Bring the key.,Φέρτε το κλειδί.
1381,Buy some toys.,Αγόρασε μερικά παιχνίδια.
1382,Buy some toys.,Αγοράστε μερικά παιχνίδια.
1383,Close the box.,Κλείσε το κουτί.
1384,Close the box.,Κλείστε το κουτί.
1385,Do you see me?,Με βλέπεις;
1386,Eat something.,Βάλε κάτι στο στόμα σου.
1387,Flowers bloom.,Τα λουλούδια ανθίζουν.
1388,Get well soon!,Περαστικά!
1389,Get well soon!,Καλή ανάρρωση!
1390,He drank beer.,Ήπιε μπίρα.
1391,He eats a lot.,Τρώει πολύ.
1392,He fooled her.,Την ξεγέλασε.
1393,He hugged her.,Την αγκάλιασε.
1394,He is running.,Αυτός τρέχει.
1395,He lied to me.,Μου 'πε ψέματα.
1396,He lied to me.,Μου είπε ψέματα.
1397,He lied to us.,Μας είπε ψέματα.
1398,He looks pale.,Φαίνεται χλωμός.
1399,He sells cars.,Πουλάει αυτοκίνητα.
1400,He sells cars.,Πουλάει αμάξια.
1401,He walks fast.,Βαδίζει γρήγορα.
1402,He's addicted.,Είναι εθισμένος.
1403,He's very ill.,Είναι πολύ άρρωστος.
1404,Hold on there.,Περιμένετε εκεί.
1405,How many died?,Πόσοι πέθαναν;
1406,How many died?,Πόσες πέθαναν;
1407,How many died?,Πόσα πέθαναν;
1408,How old is he?,Πόσο χρονών είναι;
1409,I am American.,Είμαι Αμερικάνος.
1410,I am American.,Είμαι Αμερικάνα.
1411,I am Japanese.,Είμαι Γιαπωνέζα.
1412,I am all ears.,Είμαι όλος αυτιά.
1413,I am coughing.,Βήχω.
1414,I am diabetic.,Είμαι διαβητικός.
1415,I am diabetic.,Είμαι διαβητική.
1416,I am studying.,Μελετάω.
1417,I am studying.,Διαβάζω.
1418,I believe you.,Σε πιστεύω.
1419,I believe you.,Σας πιστεύω.
1420,I burned them.,Τα 'καψα.
1421,I burned them.,Τα έκαψα.
1422,I burned them.,Τις έκαψα.
1423,I burned them.,Τους έκαψα.
1424,I contributed.,Συνεισέφερα.
1425,I didn't swim.,Δεν κολύμπησα.
1426,I didn't vote.,Δεν ψήφισα.
1427,I don't drink.,Δεν πίνω.
1428,I don't smoke.,Δεν καπνίζω.
1429,I enjoy chess.,Μου αρέσει να παίζω σκάκι.
1430,I feel guilty.,Αισθάνομαι ένοχος.
1431,I feel guilty.,Νιώθω ένοχος.
1432,I feel guilty.,Αισθάνομαι ένοχη.
1433,I feel guilty.,Νιώθω ένοχη.
1434,I got thirsty.,Δίψασα.
1435,I had an idea.,Μου ήρθε μια ιδέα.
1436,I hate Boston.,Μισώ τη Βοστώνη.
1437,I hate coffee.,Σιχαίνομαι τον καφέ.
1438,I hate myself.,Μισώ τον εαυτό μου.
1439,I hate school.,Μισώ το σχολείο.
1440,I have a visa.,Εγώ έχω βίζα.
1441,I have to eat.,Πρέπει να φάω.
1442,I hear voices.,Ακούω φωνές.
1443,I just smiled.,Απλώς χαμογέλασα.
1444,I know French.,Ξέρω Γαλλικά.
1445,I lied to you.,Σου 'πα ψέματα.
1446,I lied to you.,Σου είπα ψέματα.
1447,I lied to you.,Σας είπα ψέματα.
1448,I like French.,Μ' αρέσουν τα Γαλλικά.
1449,I like French.,Μου αρέσουν τα Γαλλικά.
1450,I like apples.,Μου αρέσουν τα μήλα.
1451,I like apples.,Μ' αρέσουν τα μήλα.
1452,I like coffee.,Μου αρέσει ο καφές.
1453,I like coffee.,Μ' αρέσει ο καφές.
1454,I like horses.,Μου αρέσουν τα άλογα.
1455,I like horses.,Μ' αρέσουν τ' άλογα.
1456,I like skiing.,Μ' αρέσει να κάνω σκι.
1457,I like skiing.,Μου αρέσει να κάνω σκι.
1458,I like spoons.,Μου αρέσουν τα κουτάλια.
1459,I like spoons.,Μ' αρέσουν τα κουτάλια.
1460,I like tennis.,Μου αρέσει το τένις.
1461,I like tennis.,Μ' αρέσει το τένις.
1462,I like to run.,Μ' αρέσει να τρέχω.
1463,I like to run.,Μου αρέσει να τρέχω.
1464,I like trains.,Μου αρέσουν τα τρένα.
1465,I like trains.,Μ' αρέσουν τα τρένα.
1466,I like winter.,Μ' αρέσει ο χειμώνας.
1467,I like winter.,Μου αρέσει ο χειμώνας.
1468,I like yellow.,Μου αρέσει το κίτρινο.
1469,I lost my dog.,Έχασα τον σκύλο μου.
1470,I lost my dog.,Έχασα το σκυλί μου.
1471,I love Monday!,Λατρεύω τη Δευτέρα!
1472,I love apples.,Λατρεύω τα μήλα.
1473,I love coffee.,Λατρεύω τον καφέ.
1474,I love my job.,Λατρεύω τη δουλειά μου.
1475,I love nature.,Αγαπώ τη φύση.
1476,I love summer.,Μ' αρέσει το καλοκαίρι.
1477,I miss Boston.,Μου λείπει η Βοστώνη.
1478,I never drink.,Δεν πίνω ποτέ.
1479,I play tennis.,Παίζω τέννις.
1480,I play violin.,Παίζω βιολί.
1481,I prefer dogs.,Προτιμώ τα σκυλιά.
1482,I ran outside.,Έτρεξα έξω.
1483,I ran outside.,Βγήκα τρέχοντας έξω.
1484,I read a book.,Διαβάζω ένα βιβλίο.
1485,I remember it.,Το θυμάμαι.
1486,I remember it.,Τη θυμάμαι.
1487,I remember it.,Τον θυμάμαι.
1488,I sang a song.,Τραγούδησα ένα τραγούδι.
1489,I saw nothing.,Δεν είδα τίποτα.
1490,I saw the dog.,Είδα τον σκύλο.
1491,I told a joke.,Είπα ένα αστείο.
1492,I took a walk.,Πήγα μια βόλτα.
1493,I took a walk.,Έκανα μια βόλτα.
1494,I took a walk.,Έκανα βόλτα.
1495,I trusted you.,Σ' εμπιστεύτηκα.
1496,I trusted you.,Σας εμπιστεύτηκα.
1497,I trusted you.,Σε εμπιστεύτηκα.
1498,I want to die.,Θέλω να πεθάνω.
1499,I want to eat.,Θέλω να φάω.
1500,I want to run.,Θέλω να τρέξω.
1501,I want to try.,Θέλω να δοκιμάσω.
1502,I want to win.,Θέλω να κερδίσω.
1503,I want to win.,Θέλω να νικήσω.
1504,I was at home.,Ήμουνα σπίτι.
1505,I was dancing.,Χόρευα.
1506,I was reading.,Διάβαζα.
1507,I was serious.,Ήμουν σοβαρός.
1508,I watched you.,Σας παρακολούθησα.
1509,I watched you.,Σε παρακολούθησα.
1510,I went aboard.,Πήγα στο εξωτερικό.
1511,I went inside.,Μπήκα μέσα.
1512,I went inside.,Πήγα μέσα.
1513,I write poems.,Γράφω ποιήματα.
1514,I'll be ready.,Θα 'μαι έτοιμος.
1515,I'll be ready.,Θα είμαι έτοιμος.
1516,I'll be ready.,Θα 'μαι έτοιμη.
1517,I'll be ready.,Θα είμαι έτοιμη.
1518,I'll eat here.,Θα φάω εδώ.
1519,I'll eat here.,Εδώ θα φάω.
1520,I'll help you.,Θα σε βοηθήσω.
1521,I'll help you.,Θα σας βοηθήσω.
1522,I'll kill him.,Θα τον σκοτώσω.
1523,I'll kill you.,Θα σε σκοτώσω.
1524,I'll kill you.,Θα σας σκοτώσω.
1525,I'll miss Tom.,Θα μου λείψει ο Τομ.
1526,I'll miss you.,Θα μου λείψεις.
1527,I'll miss you.,Θα μου λείψετε.
1528,I'll show you.,Θα σου δείξω.
1529,I'll show you.,Θα σας δείξω.
1530,I'll take him.,Θα τον πάρω.
1531,I'll tell you.,Θα σας πω.
1532,I'll tell you.,Θα σου πω.
1533,I'll warn you.,Θα σε προειδοποιήσω.
1534,I'll warn you.,Θα σας προειδοποιήσω.
1535,I'll watch TV.,Θα δω τηλεόραση.
1536,I'll watch TV.,Θα παρακολουθήσω τηλεόραση.
1537,I'll watch it.,Θα το παρακολουθήσω.
1538,I'll watch it.,Θα τον παρακολουθήσω.
1539,I'll watch it.,Θα την παρακολουθήσω.
1540,I'm Tom's mom.,Είμαι η μαμά του Τομ.
1541,I'm a student.,Είμαι μαθητής.
1542,I'm a student.,Είμαι μαθήτρια.
1543,I'm a student.,Είμαι σπουδαστής.
1544,I'm a student.,Είμαι σπουδάστρια.
1545,I'm a student.,Είμαι φοιτήτρια.
1546,I'm after Tom.,Κυνηγάω τον Τομ.
1547,I'm after Tom.,Ψάχνω τον Τομ.
1548,I'm bilingual.,Είμαι δίγλωσση.
1549,I'm bilingual.,Είμαι δίγλωσσος.
1550,I'm dangerous.,Είμαι επικίνδυνος.
1551,I'm dangerous.,Είμαι επικίνδυνη.
1552,I'm exhausted.,Είμαι εξαντλημένος.
1553,I'm exhausted.,Είμαι εξαντλημένη.
1554,I'm exhausted.,Είμαι εξουθενωμένος.
1555,I'm exhausted.,Είμαι εξουθενωμένη.
1556,I'm impartial.,Είμαι αμερόληπτος.
1557,I'm impartial.,Είμαι αμερόληπτη.
1558,I'm in Boston.,Είμαι στη Βοστώνη.
1559,I'm not a spy.,Δεν είμαι κατάσκοπος.
1560,I'm not tired.,Δεν είμαι κουρασμένη.
1561,I'm not tired.,Δεν είμαι κουρασμένος.
1562,I'm not wrong.,Δεν έχω άδικο.
1563,I'm on a diet.,Κάνω δίαιτα.
1564,I'm the coach.,Είμαι ο προπονητής.
1565,I'm the coach.,Είμαι η προπονήτρια.
1566,I'm unmarried.,Είμαι ανύπαντρος.
1567,I'm unmarried.,Είμαι ανύπαντρη.
1568,I'm unmarried.,Είμαι άγαμος.
1569,I'm unmarried.,Είμαι άγαμη.
1570,I'm very busy.,Είμαι πολύ απασχολημένος.
1571,I'm very poor.,Είμαι πολύ φτωχός.
1572,I'm very poor.,Είμαι πολύ φτωχή.
1573,I've got wine.,Έχω κρασί.
1574,Is Tom eating?,Τρώει ο Τομ;
1575,Is Tom famous?,Είναι διάσημος ο Τομ;
1576,Is Tom guilty?,Ο Τομ είναι ένοχος;
1577,Is Tom guilty?,Είναι ένοχος ο Τομ;
1578,Is Tom hungry?,Ο Τομ πεινάει;
1579,Is Tom hungry?,Πεινάει ο Τομ;
1580,Is Tom single?,Είναι ο Τομ ελεύθερος;
1581,Is it raining?,Βρέχει;
1582,Is it serious?,Είναι σοβαρό;
1583,Is that a wig?,Είναι περούκα;
1584,It is raining.,Βρέχει.
1585,It is snowing.,Χιονίζει.
1586,It isn't mine.,Δεν είναι δικός μου.
1587,It isn't mine.,Δεν είναι δικό μου.
1588,It isn't mine.,Δεν είναι δική μου.
1589,It was urgent.,Ήταν επείγον.
1590,It'll be easy.,Θα είναι εύκολο.
1591,It'll be easy.,Θα είναι εύκολος.
1592,It'll be easy.,Θα είναι εύκολη.
1593,It'll be easy.,Θα 'ναι εύκολο.
1594,It'll be easy.,Θα 'ναι εύκολη.
1595,It'll be easy.,Θα 'ναι εύκολος.
1596,It's 2:30 now.,Τώρα είναι 2:30.
1597,It's not mine.,Δεν είναι δικός μου.
1598,It's not mine.,Δεν είναι δικό μου.
1599,It's not mine.,Δεν είναι δική μου.
1600,It's optional.,Είναι προαιρετικό.
1601,It's terrible.,Είναι απαίσιο .
1602,It's the best.,Είναι το καλύτερο.
1603,Just stay put.,Απλώς μείνε στη θέση σου.
1604,Keep climbing.,Συνέχισε να σκαρφαλώνεις.
1605,Keep climbing.,Συνεχίστε να σκαρφαλώνετε.
1606,Leave it here.,Άφησε το εδώ.
1607,Leave it here.,Άσ' το εδώ.
1608,Leave it here.,Αφήστε το εδώ.
1609,Let me finish.,Άσε με να τελειώσω.
1610,Let me finish.,Άφησε με να τελειώσω.
1611,Let me finish.,Αφήστε με να τελειώσω.
1612,Life is sweet.,Είναι γλυκιά η ζωή.
1613,Lock the door.,Κλείδωσε την πόρτα.
1614,Lock the door.,Κλειδώστε την πόρτα.
1615,Love is blind.,Ο έρωτας είναι τυφλός.
1616,Mine is black.,Το δικό μου είναι μαύρο.
1617,Mine is black.,Η δική μου είναι μαύρη.
1618,Mine is black.,Ο δικός μου είναι μαύρος.
1619,My car is red.,Τ' αμάξι μου είναι κόκκινο.
1620,My car is red.,Το αυτοκίνητό μου είναι κόκκινο.
1621,"No, thank you.","Όχι, ευχαριστώ."
1622,"OK, try again.","Εντάξει, προσπαθήστε ξανά."
1623,Open the door.,Άνοιξε την πόρτα.
1624,Open the door.,Ανοίξτε την πόρτα.
1625,Our team lost.,Η ομάδα μας έχασε.
1626,Russia is big.,Η Ρωσία είναι μεγάλη.
1627,Save yourself.,Σώσε τον εαυτό σου.
1628,Send it to me.,Στείλε το σε μένα.
1629,Send it to me.,Στείλτε το σε μένα.
1630,She avoids me.,Με αποφεύγει.
1631,She hated him.,Τον μισούσε.
1632,She hated him.,Τον μίσησε.
1633,She helps him.,Τον βοηθάει.
1634,She hired him.,Toν προσέλαβε.
1635,She is French.,Είναι Γαλλίδα.
1636,She is crying.,Κλαίει.
1637,She is eating.,Αυτή τρώει.
1638,She loves him.,Τον αγαπάει.
1639,She obeys him.,Τον υπακούει.
1640,She went home.,Πήγε σπίτι.
1641,Somebody came.,Κάποιος ήρθε.
1642,Stop laughing.,Σταμάτα να γελάς.
1643,Stop laughing.,Σταματήστε να γελάτε.
1644,Stop laughing.,Πάψε να γελάς.
1645,Stop laughing.,Πάψτε να γελάτε.
1646,Stop worrying.,Σταμάτα ν' ανησυχείς.
1647,Stop worrying.,Σταματήστε ν' ανησυχείτε.
1648,Stop worrying.,Πάψε ν' ανησυχείς.
1649,Stop worrying.,Πάψτε ν' ανησυχείτε.
1650,That's my cat.,Αυτή είναι η γάτα μου.
1651,That's my cat.,Αυτός είναι ο γάτος μου.
1652,The girls won.,Τα κορίτσια νίκησαν.
1653,The girls won.,Τα κορίτσια κέρδισαν.
1654,The girls won.,Νίκησαν τα κορίτσια.
1655,The girls won.,Κέρδισαν τα κορίτσια.
1656,There you are.,Ορίστε!
1657,They found it.,Τον βρήκαν.
1658,They found it.,Τη βρήκαν.
1659,They found it.,Το βρήκαν.
1660,They hate you.,Σε μισούν.
1661,They hate you.,Σας μισούν.
1662,They need you.,Σας χρειάζονται.
1663,They need you.,Σε χρειάζονται.
1664,They pay well.,Πληρώνουν καλά.
1665,They will die.,Θα πεθάνουν.
1666,They're green.,Είναι πράσινοι.
1667,They're green.,Είναι πράσινες.
1668,They're green.,Είναι πράσινα.
1669,This is Japan.,Αυτή είναι η Ιαπωνία.
1670,This is a pen.,Αυτή είναι μια πένα.
1671,This is a pen.,Αυτός είναι ένας στιλός.
1672,This is a pun.,Αυτό είναι ένα λογοπαίγνιο.
1673,This is basic.,Αυτό είναι βασικό.
1674,Time is money.,Ο χρόνος είναι χρήμα.
1675,Tom adores me.,Ο Τομ με λατρεύει.
1676,Tom avoids me.,Ο Τομ με αποφεύγει.
1677,Tom avoids me.,Ο Τομ μ' αποφεύγει.
1678,Tom closed it.,Ο Τομ το έκλεισε.
1679,Tom closed it.,Το έκλεισε ο Τομ.
1680,Tom confessed.,Ο Τομ ομολόγησε.
1681,Tom graduated.,Ο Τομ αποφοίτησε.
1682,Tom has a cat.,Ο Τομ έχει μια γάτα.
1683,Tom has money.,Ο Τομ έχει χρήματα.
1684,Tom has money.,Ο Τομ έχει λεφτά.
1685,Tom has money.,Έχει λεφτά ο Τομ.
1686,Tom has money.,Έχει χρήματα ο Τομ.
1687,Tom hates you.,Ο Τομ σε μισεί.
1688,Tom hates you.,Ο Τομ σας μισεί.
1689,Tom hesitated.,Ο Τομ δίστασε.
1690,Tom hugged me.,Ο Τομ μ' αγκάλιασε.
1691,Tom hugged me.,Ο Τομ με αγκάλιασε.
1692,Tom is afraid.,Ο Τομ φοβάται.
1693,Tom is afraid.,Φοβάται ο Τομ.
1694,Tom is crying.,Ο Τομ κλαίει.
1695,Tom is eating.,Ο Τομ τρώει.
1696,Tom is famous.,Ο Τομ είναι διάσημος.
1697,Tom is greedy.,Ο Θωμάς είναι άπληστος.
1698,Tom is hungry.,Ο Τομ πεινάει.
1699,Tom is joking.,Ο Τομ αστειεύεται.
1700,Tom is losing.,Ο Τομ χάνει.
1701,Tom is thirty.,Ο Τομ είναι τριάντα.
1702,Tom is trying.,Ο Τομ προσπαθεί.
1703,Tom is trying.,Προσπαθεί ο Τομ.
1704,Tom is unfair.,Ο Τομ είναι άδικος.
1705,Tom isn't fat.,Ο Τομ δεν είναι χοντρός.
1706,Tom isn't fat.,Δεν είναι χοντρός ο Τομ.
1707,Tom just left.,Ο Τομ μόλις έφυγε.
1708,Tom kissed me.,Ο Τομ με φίλησε.
1709,Tom knows you.,Ο Τομ σε ξέρει.
1710,Tom knows you.,Ο Τομ σας ξέρει.
1711,Tom knows you.,Ο Τομ σας γνωρίζει.
1712,Tom knows you.,Ο Τομ σε γνωρίζει.
1713,Tom lost Mary.,Ο Τομ έχασε τη Μαίρη.
1714,Tom loves art.,Ο Τομ αγαπάει την τέχνη.
1715,Tom loves you.,Ο Τομ σ' αγαπάει.
1716,Tom loves you.,Ο Τομ σας αγαπάει.
1717,Tom loves you.,Σ' αγαπάει ο Τομ.
1718,Tom loves you.,Σας αγαπάει ο Τομ.
1719,Tom needs you.,Ο Τομ σε χρειάζεται.
1720,Tom needs you.,Ο Τομ σας χρειάζεται.
1721,Tom opened it.,Ο Τομ το άνοιξε.
1722,Tom opened it.,Το άνοιξε ο Τομ.
1723,Tom overslept.,Ο Τομ παρακοιμήθηκε.
1724,Tom remembers.,Ο Τομ θυμάται.
1725,Tom runs fast.,Ο Τομ τρέχει γρήγορα.
1726,Tom shot Mary.,Ο Τομ πυροβόλησε τη Μαίρη.
1727,Tom was a spy.,Ο Τομ ήταν κατάσκοπος.
1728,Tom was alive.,Ο Τομ ήταν ζωντανός.
1729,Tom was dirty.,Ο Τομ ήταν βρόμικος.
1730,Tom was fired.,Ο Τομ απολύθηκε.
1731,Tom was happy.,Ο Τομ ήταν χαρούμενος.
1732,Tom was happy.,Ο Τομ ήταν ευτυχισμένος.
1733,Tom was lucky.,Ο Τομ ήταν τυχερός.
1734,Tom was naked.,Ο Τομ ήταν γυμνός.
1735,Tom was ready.,Ο Τομ ήταν έτοιμος.
1736,Tom whispered.,Ο Τομ ψιθύρισε.
1737,Tom will come.,Θα έρθει ο Τομ.
1738,Tom will come.,Ο Τομ θα έρθει.
1739,Tom will cook.,Ο Τομ θα μαγειρέψει.
1740,Tom will cook.,Θα μαγειρέψει ο Τομ.
1741,Tom will fail.,Ο Τομ θ' αποτύχει.
1742,Tom will fail.,Ο Τομ θα αποτύχει.
1743,Tom will help.,Ο Τομ θα βοηθήσει.
1744,Tom will help.,Θα βοηθήσει ο Τομ.
1745,Tom will live.,Ο Τομ θα ζήσει.
1746,Tom will live.,Θα ζήσει ο Τομ.
1747,Tom will lose.,Ο Τομ θα χάσει.
1748,Tom will lose.,Θα χάσει ο Τομ.
1749,Tom will obey.,Ο Τομ θα υπακούσει.
1750,Tom will obey.,Θα υπακούσει ο Τομ.
1751,Tom will sing.,Ο Τομ θα τραγουδήσει.
1752,Tom will wait.,Ο Τομ θα περιμένει.
1753,Tom will wait.,Θα περιμένει ο Τομ.
1754,Tom will walk.,Ο Τομ θα βαδίσει.
1755,Tom will walk.,Ο Τομ θα περπατήσει.
1756,Tom'll change.,Ο Τομ θ' αλλάξει.
1757,Tom'll change.,Θ' αλλάξει ο Τομ.
1758,Tom's escaped.,Ο Τομ έχει αποδράσει.
1759,Tom's singing.,Ο Τομ τραγουδάει.
1760,Tom's smiling.,Ο Τομ χαμογελάει.
1761,Tom's smoking.,Ο Τομ καπνίζει.
1762,Tom's unhappy.,Ο Τομ είναι δυστυχισμένος.
1763,Tom's unhappy.,Ο Τομ είναι στενοχωρημένος.
1764,Tom's violent.,Ο Τομ είναι βίαιος.
1765,Tom's waiting.,Ο Τομ περιμένει.
1766,Was I snoring?,Ροχάλιζα;
1767,Was Tom angry?,Ήταν θυμωμένος ο Τομ;
1768,Was Tom angry?,Ο Τομ ήταν θυμωμένος;
1769,Was it useful?,Ήταν χρήσιμο;
1770,Was it useful?,Ήταν χρήσιμη;
1771,Was it useful?,Ήταν χρήσιμος;
1772,"Water, please.","Νερό, παρακαλώ."
1773,We are hungry.,Πεινάμε.
1774,We don't know.,Δεν ξέρουμε.
1775,We don't swim.,Δεν κολυμπάμε.
1776,We eat at six.,Τρώμε στις έξι.
1777,We found them.,Τους βρήκαμε.
1778,We found them.,Τις βρήκαμε.
1779,We found them.,Τα βρήκαμε.
1780,We like music.,Μας αρέσει η μουσική.
1781,We missed you.,Μας έλειψες.
1782,We missed you.,Μας λείψατε.
1783,We need a car.,Χρειαζόμαστε ένα αυτοκίνητο.
1784,We need money.,Χρειαζόμαστε λεφτά.
1785,We need paper.,Χρειαζόμαστε χαρτί.
1786,We understand.,Καταλαβαίνουμε.
1787,We want to go.,Θέλουμε να πάμε.
1788,We were happy.,Ήμαστε ευτυχισμένοι.
1789,We were happy.,Ήμαστε ευτυχισμένες.
1790,We were happy.,Ήμασταν ευτυχισμένοι.
1791,We were happy.,Ήμασταν ευτυχισμένες.
1792,We were happy.,Ήμασταν χαρούμενοι.
1793,We were happy.,Ήμασταν χαρούμενες.
1794,We were happy.,Ήμαστε χαρούμενοι.
1795,We were happy.,Ήμαστε χαρούμενες.
1796,We won't lose.,Δε θα χάσουμε.
1797,We wonder why.,Αναρωτιόμαστε γιατί.
1798,We'll be here.,Θα είμαστε εδώ.
1799,We'll be here.,Θα 'μαστε εδώ.
1800,We'll be late.,Θα αργήσουμε.
1801,We'll be late.,Θ' αργήσουμε.
1802,We'll bury it.,Θα το θάψουμε.
1803,We'll bury it.,Θα τη θάψουμε.
1804,We'll bury it.,Θα τον θάψουμε.
1805,We'll find it.,Θα το βρούμε.
1806,We'll find it.,Θα τον βρούμε.
1807,We'll find it.,Θα τη βρούμε.
1808,We'll go home.,Θα πάμε σπίτι.
1809,We'll hide it.,Θα την κρύψουμε.
1810,We'll hide it.,Θα τον κρύψουμε.
1811,We'll hide it.,Θα το κρύψουμε.
1812,We'll need it.,Θα το χρειαστούμε.
1813,We'll need it.,Θα τον χρειαστούμε.
1814,We'll need it.,Θα τη χρειαστούμε.
1815,We'll take it.,Θα το πάρουμε.
1816,We'll take it.,Θα τον πάρουμε.
1817,We'll take it.,Θα την πάρουμε.
1818,We're dancing.,Χορεύουμε.
1819,We're dieting.,Κάνουμε δίαιτα.
1820,We're reading.,Διαβάζουμε.
1821,We're shocked.,Είμαστε σοκαρισμένοι.
1822,We're shocked.,Είμαστε σοκαρισμένες.
1823,We're sincere.,Είμαστε ειλικρινείς.
1824,What did I do?,Τι έκανα;
1825,What happened?,Τι συνέβη;
1826,What was that?,Τι ήταν αυτό;
1827,Where are you?,Πού είσαι;
1828,Where was Tom?,Πού ήταν ο Τομ;
1829,Who asked you?,Ποιος σας ρώτησε;
1830,Who asked you?,Ποιος σε ρώτησε;
1831,Who disagreed?,Ποιος διαφώνησε;
1832,Who found you?,Ποιος σας βρήκε;
1833,Who found you?,Ποιος σε βρήκε;
1834,Who hates you?,Ποιος σας μισεί;
1835,Who hates you?,Ποιος σε μισεί;
1836,Who helps her?,Ποιος τη βοηθάει;
1837,Who hired Tom?,Ποιος προσέλαβε τον Τομ;
1838,Who remembers?,Ποιος θυμάται;
1839,Who sent this?,Ποιος το 'στειλε αυτό;
1840,Who sent this?,Ποιος το έστειλε αυτό;
1841,Who was right?,Ποιος είχε δίκιο;
1842,Who's dieting?,Ποιος κάνει δίαιτα;
1843,Who's missing?,Ποιος λείπει;
1844,Who's missing?,Ποια λείπει;
1845,Who's winning?,Ποιος κερδίζει;
1846,Whose is this?,Ποιανού είν' αυτό;
1847,Will she come?,Θα έρθει;
